"CONTRACT_NUMBER","APP_ID","IMAGEINDEX","VOLUMEID","SITEID","FILETYPE","destinationPath"
"20181114-4934266",25982810,2694557,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/25982810/1c3338c1-cc68-4632-92e5-158ae25516ce.pdf
"20181123-6993931",26247975,2919735,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26247975/8025c00a-7be4-42db-8102-6e5b3890ddca.pdf
"20181201-0002640",26451856,3075302,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26451856/90b25aca-c160-401f-be85-8098d4e3a766.pdf
"20181201-8943535",26452967,3076707,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26452967/dd2e0d39-9798-44c6-8d87-c13daff314bb.pdf
"20181201-8944938",26456889,3079355,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26456889/f0fabd28-9d22-412f-81d0-a71059d12d44.pdf
"20181205-0967924",26553438,3138460,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26553438/031e98c8-e269-4cf4-a683-3fb92f868664.pdf
"20181206-9975592",26596543,3166326,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26596543/b71eacfa-55ea-416c-8d90-a1267ec2fcaf.pdf
"20181211-8907169",26726380,3253196,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26726380/9ebfe127-6129-492f-b79b-cd2f63c5c704.pdf
"20181214-0005642",26834901,3322143,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26834901/a12eb183-3747-48f5-bb0b-fc83aaed434e.pdf
"20181215-4931690",26857893,3338436,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26857893/df068c95-6b33-4c7e-92d7-562c0b3c0f24.pdf
"20181218-8954586",26943344,3406580,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/26943344/f9d29b6d-362b-4938-a836-991394a9d9e0.pdf
"20181220-0964212",27000755,3439447,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27000755/339e0835-ef4c-45c2-bfb3-044b52b1c8ea.pdf
"20181221-3969718",27039863,3465818,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27039863/8801dd2e-cd8a-49e9-b657-39119e82f34e.pdf
"20181221-9971388",27049014,3473222,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27049014/8b2eedf3-0b48-47b6-b970-9c9fbc574485.pdf
"20181223-7983206",27107927,3512696,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27107927/dc5cc82a-bf2c-4487-93fc-fec40388e793.pdf
"20181224-4987206",27120733,3524469,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27120733/232313d1-911a-4ae1-950f-788fb3174f4a.pdf
"20181224-5988349",27125251,3529219,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27125251/71d8b50c-f0cd-4d47-9129-42ecb9f730ba.pdf
"20181225-3993894",27149736,3555975,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27149736/f13490a4-ef5e-486e-a55b-a2617966faab.pdf
"20181225-7994668",27152761,3560489,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27152761/fd9b5ac3-49b3-4b2c-be38-211f112ed6d1.pdf
"20181226-9902318",27190369,3599520,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27190369/c50851e1-1759-487f-a188-5cbfbd1c44e8.pdf
"20181226-0903543",27196342,3605688,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27196342/64cd1611-851e-4646-89e0-0234e7b79a33.pdf
"20181227-4909854",27226683,3638009,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27226683/0276f5d9-3599-4007-af66-9958d833b3e2.pdf
"20181228-1912702",27239025,3652115,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27239025/a164c224-6e86-45d5-957d-258e251a2405.pdf
"20181230-0000441",27287717,3714841,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27287717/1471b09d-df6a-485c-b27d-cec175d2f143.pdf
"20181231-3934683",27298549,3731255,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27298549/8033962e-b68f-44f0-8620-41d5306bfed7.pdf
"20181231-5938757",27308035,3745881,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27308035/10e6d9da-35f9-475c-90cd-d59c2879785b.pdf
"20190101-2943572",27317788,3754748,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27317788/2b039855-e1de-471f-8445-5b02184e6bbb.pdf
"20190102-6949586",27331861,3768052,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27331861/6f7c9efc-86de-4215-aa29-f9e55a190247.pdf
"20190102-7950949",27338148,3772455,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27338148/7c9ce84f-380d-4ad7-a217-e4647b954dd4.pdf
"20190102-1952017",27343536,3775615,6,5,GIẤY ĐĂNG KÝ XE.pdf,/datafs/appdata/galaxy01/2025/06/05/27343536/276a6333-5897-4292-86b0-938ad12cc26f.pdf
