"CONTRACT_NUMBER","APP_ID","IMAGEINDEX","VOLUMEID","SITEID","FILETYPE"
"20200622-3949386","45204726","80798327","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20210402-6900664","55250478","128296611","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20210401-8995102","55227482","128194957","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20220209-9936046","67651281","175620026","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191229-8937065","39371651","58724188","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20201005-4926498","48655781","96309254","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20201115-0986386","50351861","102911739","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20201129-0917734","50812077","105290524","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20210117-0941927","52830457","115721257","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20210205-1998719","53670019","120466569","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20210501-8995118","56110779","131909363","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20210625-9902503","58053303","139470069","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200801-2979396","46592764","86921796","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20201125-8982639","50683319","104666714","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20220218-2915596","68035164","177026675","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20180925-8987276","24676115","20877702","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20181009-5977759","25020964","21898530","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20181019-0002270","25302586","22442114","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20181021-0970603","25352218","22532892","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20181024-0001691","25417753","22661000","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20190105-0009124","27453524","25149739","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20190105-0011294","27458805","3859490","6","5",GIẤY ĐĂNG KÝ XE.pdf
"20190109-1901292","27575100","3967112","6","5",GIẤY ĐĂNG KÝ XE.pdf
"20190109-6900092","27568519","24889406","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190113-9932031","27705668","4077192","6","5",GIẤY ĐĂNG KÝ XE.pdf
"20190116-0963505","27816330","25495719","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20190117-0974197","27858390","4228234","6","5",GIẤY ĐĂNG KÝ XE.pdf
"20190119-8992115","27932015","4301650","6","5",GIẤY ĐĂNG KÝ XE.pdf
"20190120-1905699","27966746","25646023","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20190122-0003022","28025513","25413182","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190122-0923142","28020069","25406098","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190123-4931999","28050937","25446409","8","7",GIẤY ĐĂNG KÝ XE.pdf
